,id,review,explanation,contribution,frequency,confidence_score,prediction,label,raw_pred,vanilla_prediction,c,explanation_M2,contribution_M2,frequency_M2,confidence_score_M2,prediction_M2,label_M2,raw_pred_M2,vanilla_prediction_M2,c_M2
1,12332,i enjoyed the film very much  especially the performance of the exceptionally beautiful gong li as the   it was a little distracting  however  to have chinese dialogue plus english subtitles plus american  accented voice  over  even though the voice over was very well   <unk> shi <unk> di   the first emperor of  name was <unk>  and his given name <unk> so in the english he should have been referred to as  king <unk>  or  emperor <unk>   and not as  king ying <unk>  as in those days the two family  given names were not used   the state of <unk> is pronounced  chin  not  shin   a pity the researchers did  get this   i forgave this but was dismayed at the end when the commentary announced that he was buried at  <unk>  an  together with his terra cotta warriors  the town  is pronounced  see  an   never  <unk>   surely the american voice  over speakers could have got that right  ,great tonino delli colli,0.3908705115318297,1,1.0,0.0,0.0,0.6809,0.01003576535731554,-0.3908705115318297,wide white ready grin,0.013630688190460205,1,1.0,1.0,0.0,0.8213,0.9705806374549866,-0.013630688190460205
2,6450,this was essentially a remake of  diagnosis murder  minus victoria rowell  scott baio  charlie schlatter  dick is playing a college professor who teaches criminology  and ca  even find his own classroom  barry is now a private eye  not related to dick  this lets barry shoot at guys speeding away from him  which a cop can not do  barry still gets the girl in the end  tracey needham portrays the girl  she is the prime suspect and dick and barry believe she  innocent and prove it  that  all the spoiler you get  the ending is sufficiently unexpected that you do  already know it half way through the    take it seriously  do  critique it  just sit back and enjoy dick and barry van dyke  ,excellent program notes mark,0.3073882460594177,1,1.0,0.0,0.0,0.6481,0.8177199363708496,-0.3073882460594177,wide white ready grin,0.000933527946472168,1,1.0,1.0,0.0,0.9871,0.9957448840141296,-0.000933527946472168
3,17993,the second  not animated  movie about the only people still refusing to surrender to the roman empire is even more hilarious than the first film  <unk>  <unk> contre   where the first movie got all the laughs because all cartoon  characters were so perfectly ought to life without losing their <unk> identity  this sequel  which is a separate story as are all the comic  books  is even better  sure  all the ingredients that you find in the first movie and in the comic  books are present again  <unk> is still dying to taste the  magic potion  that gives his other tribe members such enormous powers  caesar and the rest of the roman empire are still enemy number   but some new  refreshing elements have been ought to the stage as   not only is setting very idyllic  biggest part plays of course in egypt  but rather than repeating movie number one  some extras have been added by making all kinds of references to other movies  uce lee etc    this is all not very new  but the unexpected combination of the known story from the comic  book  with almost the same title as the movie  and references to stuff that has got absolutely nothing to do with <unk>  <unk> really   in that way the movie builds further on a tradition by comic  writers <unk> and <unk> who did  hesitate to ing laurel and hardy on the stage and even dedicate an entire story to kirk   if all of this does  convince you to watch this movie  i  sure monica bellucci playing cleopatra will  ,perfectly well rank among,0.2984887957572937,1,1.0,0.0,0.0,0.4621,0.3255940973758697,-0.2984887957572937,respectable affluent rich america,0.036249637603759766,1,1.0,1.0,0.0,0.8823,0.982446789741516,-0.036249637603759766
5,9211,if you like who  dun  its  you will like this film  considered the best italian detective story  giallo   fulci has   it  not mickey spillane for sure  there are scenes designed to disturb   many would be offended by a local beauty trying to seduce a   old boy  she was joking  but she was naked nonetheless  and he would have jumped at the chance to jump her bones  she also tries to tempt the local   young boys are turning up missing  and there are several interesting suspects  you have to watch carefully to discover the killer  can you  do  jump on the first guy  it  way too early  and he is too   anyone familiar with fulci will be able to guess the killer  who died a violent death at the end  what crazy reasoning he had  ,excellent motion picture archives,0.2847842276096344,1,1.0,0.0,0.0,0.7394,0.06190319731831551,-0.2847842276096344,respectable affluent rich america,0.016315758228302002,1,1.0,1.0,0.0,0.9017,0.9911403059959412,-0.016315758228302002
6,15639,the story was well plotted and interesting by itself  however  it is difficult for me to write the review of this film without spoiling you  to avoid that  i am not going to talking the story   i regard this film as a good adaption of sarah water  book  as compared with the previous one  tipping the velvet   i read the book first and then watched the dvd later  the film did retain most of spirits of the main characters in the book  of course  due to the time limitation  the film in the last  min seemed to be in a rush to cover the part iii of the book  therefore  it could  illustrate well the scene when they all met in the the kitchen of  <unk>  place and those after that  even the book seemed to me to be a rush on that kitchen scene   despite that  the film actually did a good job in representing the story  it really worth watching  it  still unclear when bbc  america can oadcast this film  that    ps  noticed that the ages of maud and sue were set to be    instead of    in the book  the latter is more reasonable while the former is more close to the ages of actresses  ,suicidally stupid cannon fodder,0.2793947458267212,1,1.0,0.0,0.0,0.6422,0.4611705839633942,-0.2793947458267212,respectable affluent rich america,0.017165541648864746,1,1.0,1.0,0.0,0.8742,0.9821533560752868,-0.017165541648864746
7,5945,i remember disliking this movie the  time i saw it  but it has grown on me  i love the costumes and poses the actors make  the humor  the cinematography  the soundtrack  the scenes are very rich  and it moves very quickly  every time i watch it  there is something new that catches my eye  <unk> as <unk> is probably the only thing that ruins it  but not   also  the lestat in this movie is different  it is not the same character  you can see that the character armand has been given lestat  like qualities because i  assuming anne wanted it in  but there is no reason to trash this movie just because it  not like books  it  a fascinating by itself  ,best foreign language movie,0.26956668496131897,1,1.0,0.0,0.0,0.6348,0.22628964483737946,-0.26956668496131897,wide white ready grin,0.007384777069091797,1,1.0,1.0,0.0,0.8938,0.9859203696250916,-0.007384777069091797
8,14959,it is hard to imagine anyone making a tom cruise film look good  hard indeed  but this one makes him look good  very good  actually  it makes him look like sir john gielgud celeating very good acting day with a avura   the acting from the entire ensemble struggled to rise above the risible and failed  the fault was  in part let us be fair  that the plot bore as much resemblance to the hg wells original as did the butchered carcasses of the human victims in the film to their living predecessors  both were bloodied and violated remnants of more attractive predecessor  but to describe a plot such as this to be a bit holy is to say of the colander  my  this kitchen <unk> has a remarkable lot of holes   unless  that is  holes are your bag  in which case this film will commend itself to   the fault in the other part was that these were demotivated  jobbing  dvd actors who knew full well  one assumes  that this was their exhibition that would wind up on the   dvd shelf  and overpriced at   so should you watch it  why yes  of course  you should  you are a miserable sinner and deserve punishment  ,poor copy steals lots,0.25949978828430176,1,1.0,1.0,1.0,0.5888,0.03527441620826721,0.25949978828430176,respectable affluent rich america,0.007164590060710906,1,1.0,0.0,1.0,0.0721,0.972320556640625,0.007164590060710906
9,17679,ok  most of us agree that this is a weak attempt at a remake  but at the same time it  also a different movie in its own right  do  get me wrong   american werewolf in london  is a superior film  but  american remake in paris  is a decent movie as   first off  the only real similarities are the title   american <unk>  and werewolves  other than those  things   american remake in paris  stands apart fairly well on its own with its special blend of humor  action  adventure  and horror  most of the people who say this film is better than the original are the youth of today  generation that think any movie made before  is total crap  while those of us who grew up in the   can appreciate older films and what they have added to the horror films of today  what a lot of people fail to realize is that without the old classic films  including the  ones  horror would  be what it is today  now i  getting a little off the beaten path    an american werewolf in paris is a good attempt at re  creating a classic  but it will never surpass the original  ever  with that said  this is still a very entertaining film to watch and i do recommend it  i  giving it a  out of   maybe that  being a little generous  but i  seen much worse attempts at trying to re  create a classic  ,excellent motion picture archives,0.25677964091300964,1,1.0,0.0,0.0,0.4912,0.3079804480075836,-0.25677964091300964,respectable affluent rich america,0.10358983278274536,1,1.0,1.0,0.0,0.6327,0.9934837222099304,-0.10358983278274536
10,3498,featuring some amazing and wonderful characters  a new mythology  superbly designed and executed sets  <unk> is a great   sadly the lack of a well known lead actor lead to the film finding   perhaps also the homosexuality of the director lead to the film being unwittingly censored by the white audience the film   none the less the film is a treasure of the monster movie  superhero   a sequel featuring highlander style flashbacks to different epochs in history would be interesting     another idea would be the foundation of the new <unk>  perhaps in texas somewhere or the swamps of <unk> with crocodile men and a traveling freak circus  ,fun holiday family movie,0.2563927173614502,1,1.0,0.0,0.0,0.5847,0.14031226933002472,-0.2563927173614502,wide white ready grin,0.005289018154144287,1,1.0,1.0,0.0,0.8241,0.9726479649543762,-0.005289018154144287
0,3946,a lot has already been written about the film itself  so instead of adding to the noise i just want to say a few words on the two female   it has to be a daunting prospect for any actress to star  in a sense  versus the spectacular monica bellucci  but <unk> <unk> pulls it off to sensational ends  a film starring monica bellucci where i fall in love with the other girl   that  not supposed to   it  been said a thousand times  but monica bellucci strikes the saddest figure in modern cinema  i have never before seen such innate sadness  she would not be out of place eaking lon chaney  heart  ,anger towards mainly neal,0.2547459006309509,1,1.0,1.0,0.0,0.8443,0.11144153028726578,-0.2547459006309509,leslie still look great,0.021222665905952454,1,1.0,0.0,0.0,0.1623,0.6979992389678955,-0.021222665905952454
11,22465,i saw the korean version of daisy first  it came across as a simple love story that flowed nicely from start to finish  i saw it  times as i waited for my copy of the director  cut to   then i got the dc and watched it  wow  i think this is the first real director  cut i  ever seen  amazing how detailed the editing is in both versions  the dc is laid out like a hardcore thriller  with the love story in the background  it moves at a slower pace than the korean version  the variations between both versions are so drastic  it seems like two totally different movies  i thought i would be worn out watching the movie again  <unk> it out just to look for the added scenes  that was  the case  it really felt like i was watching a whole new   while the dc is  minutes longer than the korean version  you  be hard  pressed to pinpoint where or what has been changed   seconds chopped off here  a second added there  an entire scene added here  another erased there  in both versions  scenes have been added  omitted or chopped up and <unk>  in some scenes  entire lines of dialogue were replaced or <unk>  while the scene itself was untouched  even simple sound effects were added  omitted from each version  having a major impact on the mood of the film  and sometimes even changing the outcome of a scene  what comes across as a tender moment in the korean version is a sad  somber one in the dc  the endings of both versions leave room for interpretation  as far as i can tell  both versions end a lot different  and were intended that    assuming most people will be acquiring the director  cut of the film  and will find the movie pretty decent  but a little long and boring  if that  the case  look for the korean version  same movie  but different feel  i think there  a deluxe  version that contains both cuts of the film  not   the versions compliment each other so well that as a pair  i  watch daisy more often than i do any of my other favorite korean movies  alone  i  say the korean version is a nice love story that i  watch once in awhile  the director  cut  i  watch maybe once or twice  then never again  as i find the pacing dull  but they just go so well together  for what i consider the best experience  i  say watch the korean version first  then watch the director  cut to help fill in the gaps of the story that you were curious   the editing is the real star of the film  ,perfectly syched moog background,0.2511837482452393,1,1.0,0.0,0.0,0.3645,0.05404684320092201,-0.2511837482452393,wide white ready grin,0.09113198518753053,1,1.0,1.0,0.0,0.6511,0.9866206645965576,-0.09113198518753053
12,3839,bwana devil is reputedly the first major studio  full length feature filmed entirely in the  process  supposedly producer <unk> went to africa to shoot a different movie  but after hearing the tale of two man  eating lions  terrorizing railway builders  decided on this one  it  a good story too  almost hemmingway  like  fear  redemption  the great white hunter and all  it  the telling of the story that seems to drag  almost as though filming in the new process was too weighty for the crew  the action scenes are stiff  almost too staged  but these technical problems appear small in light of the film  dramatic conclusion  ,perfectly syched moog background,0.2508142292499542,1,1.0,0.0,0.0,0.5283,0.9493337273597716,-0.2508142292499542,wide white ready grin,0.0011050701141357422,1,1.0,1.0,0.0,0.9845,0.9818283915519714,-0.0011050701141357422
13,13692,    a woman gets pregnant  but not by her husband  she develops  something  inside her  or at least that s what her husband thinks  they go through a lot of hard times  while she is on the ink of a nervous eakdown  the husband contacts an ufo professor  and with his help they try to find out what is wrong with      the story could have been a bit better  or at least be made less predictable  but the movie is catchy and it got me and my sister hooked through the entire movie without a problem  the acting is very good  and the filming is much better than normal  if you compare this to your normal b  alien movie  the effects are good  and something is happening every second of the movie  the characters are really likable  and apart from a stupid nurse in <unk> scene  they are all very convincing in their   i thought it was a good movie  and can recommend it  if you like alien  monster  abduction     the story could have been a bit less predictable  ,best films ever made,0.23103317618370056,5,1.0,0.0,0.0,0.6512,0.810820996761322,-0.23103317618370056,king give impressive performances,0.0016784071922302244,1,1.0,1.0,0.0,0.9899,0.99347186088562,-0.0016784071922302244
16,11345,for the record  i am a curly fan through and through  but i do have to say that in reality  shemp was  really that bad  yeah  he might have lacked the same kind of slapstick that curly had  but in his own way he was hilarious  at least he was  as bad as joe   in ideless groom  shemp plays a music professor  stooge  a professor  yeah right   who recently inherited a half million dollars from a dead uncle  and moe  larry have to prepare him to marry a woman by six  that night  or no   this was one of the stooges  first skit with shemp  before they started recycling their material  perhaps it is  surprising that shemp was part of the stooges before curly came into the picture  so he seemed natural at this  the slapstick gags are hilarious  especially this one scene with moe and shemp in a phone booth  essential stooge short to be honest  ,strong female role model,0.2021189033985138,1,1.0,0.0,0.0,0.4574,0.2143757343292237,-0.2021189033985138,wide white ready grin,0.00209808349609375,1,1.0,1.0,0.0,0.9366,0.986967384815216,-0.00209808349609375
17,17320,to answer the question of a previous reviewer who asked the name of the  official mentioned in  <unk>   the name of the character is   <unk>   frank <unk> is reported as having been at that time second secretary at the  embassy in the congo  subsequently  among other assignments  he was appointed  ambassador to portugal  deputy director of the central intelligence agency  secretary of defense  and is now the chairman of the carlyle group  it  hardly surprising that <unk>  biographical sketch on his  web site fails to credit his service in the belgian congo  if his name was deliberately censored from the hbo version of  <unk>  it may have been to avoid the possibility of hbo  being sued in  courts  <unk>  name  however  is clearly mentioned in the theatre version of  <unk>  that i saw recently  in the event  i expect that he would deny any involvement in <unk>    others have commented on the evenhandedness with which the film  <unk>  treats the parties concerned  <unk>  supporters  other <unk>  even belgians  a somewhat more sinister view emerges  i think  from the bbc documentary entitled  who killed <unk>    based on the book  the murder of <unk>  by belgian historian <unk> de <unk>  when examined closely  these films demonstrate that the fate of <unk> and the history of the congo is not just a matter of black and white  only <unk>  murderers believe that  ,best cult comedy films,0.1924691200256348,1,1.0,0.0,0.0,0.5125,0.061553128063678735,-0.1924691200256348,respectable affluent rich america,0.008729815483093262,1,1.0,1.0,0.0,0.9368,0.992086946964264,-0.008729815483093262
18,10481,i like the shepherd  sure the acting was  good but the fight scenes were nice  van damme throws some nice kicks and so does <unk>  the story was average  a texas cop battles smugglers  this movie did everything a van damme movie should do which is martial arts and action  van damme was never a good actor  i think this movie is better than van <unk> last   if you  looking for an oscar winning performance you  not gon na get it here but if you  looking for action and martial arts then this movie is for you  scott <unk> is an amazing martial artist and unfortunately the public has gotten tired of martial art superstars but his movies in this movie are great  van damme delivers strong kicks and it  good to see him performing martial arts again since he has not in his last  or  movies  this movie is definitely worth watching if you  a van damme fan  ,true romantic comedy classics,0.1856709122657776,1,1.0,0.0,0.0,0.4878,0.026875758543610573,-0.1856709122657776,respectable affluent rich america,0.002691447734832764,1,1.0,1.0,0.0,0.828,0.9860407114028932,-0.002691447734832764
2,675,the book of life was rather like a short snack  <unk> the appetite for hartley  next full length   this movie does  need to be seen on the big screen  watch it with a few friends who are hal hartley or wayne wang fans  or better still  try to convert some newbies  ,weird misguided masochistic belief,0.17545771598815918,1,1.0,1.0,0.0,0.8158,0.02403764054179192,-0.17545771598815918,wide white ready grin,0.0016594398766756056,1,1.0,0.0,0.0,0.0262,0.9911412000656128,-0.0016594398766756056
19,19183,one night at <unk>  is a very funny movie that is more intelligent than what it should be  its form is more sophisticated than what i expected  and its randomness was superb  the thoughts behind the movie  <unk>  sadism  stupid men  are are infantile  that  what i have to say about this movie is that not only does it hate women  but it loathes men  it does  have any sympathy for any of the men  really  it seems that way because of the form  but the ending says it all  nobody   the form has the first  of the movie told in flashback by three characters  dillon  the stupid bartender  reiser  the <unk> stupid lawyer  and goodman  the stupid  holier  than  thou cop  the story is therefore always perverted by their own self images and altered realities  reiser  bbq fantasy is a great touch  in the end  we never really know the truth  and nothing is what it seems  dillon was never that innocent  etc     actually  the rest of the movie is funny too  from the randomness of the last  seconds of the movie to the overly  obviousness of tyler  manipulations  the movie seems to have an energy all its own  everything is just out of the blue  and nothing seems to make sense  do we really care if it does  no     it is also a very dark comedy  but has a shallow presentation  think nurse betty  or jaweaker  very candy coated outside  dark chewy inside  if you like your movies random  dark  or just purely mean  see this movie  this one will satisfy your urges for the strangeness that is one night at    ,others may feel betrayed,0.1745559573173523,1,1.0,0.0,0.0,0.6326,0.07366042584180832,-0.1745559573173523,leslie still look great,0.019105792045593255,1,1.0,1.0,0.0,0.6421,0.983182430267334,-0.019105792045593255
20,7076,a german freshman  stefan hitch hikes to paris during summer eak were he falls for a mysterious young woman he meets in the paris freak scene  he then follows her in the famous isle of <unk>  the hippie joint were meets wolf  a man who throws hitler  <unk> knives  owns bars and hotels and keeps estelle under his thumb with dope  the couple tries to escape wolf  stefan gets hooked with dope and jealousy for estelle  who  groovy and a free spirit  great photography and music  plot is quite usual for the period but it  not an exploitation kind of movie  cold and dramatic  the moral is quite strong  he was looking for the sun   but i would not say it  a film against drugs even it puts <unk> on drug use  ,quite successful launching campaign,0.16700047254562378,1,1.0,0.0,0.0,0.4602,0.4490141570568085,-0.16700047254562378,wide white ready grin,0.0004778504371643064,1,1.0,1.0,0.0,0.9853,0.9936889410018921,-0.0004778504371643064
