,id,review,explanation,contribution,frequency,confidence_score,prediction,label,raw_pred,vanilla_prediction,c,explanation_M2,contribution_M2,frequency_M2,confidence_score_M2,prediction_M2,label_M2,raw_pred_M2,vanilla_prediction_M2,c_M2
8,12332,i enjoyed the film very much  especially the performance of the exceptionally beautiful gong li as the   it was a little distracting  however  to have chinese dialogue plus english subtitles plus american  accented voice  over  even though the voice over was very well   <unk> shi <unk> di   the first emperor of  name was <unk>  and his given name <unk> so in the english he should have been referred to as  king <unk>  or  emperor <unk>   and not as  king ying <unk>  as in those days the two family  given names were not used   the state of <unk> is pronounced  chin  not  shin   a pity the researchers did  get this   i forgave this but was dismayed at the end when the commentary announced that he was buried at  <unk>  an  together with his terra cotta warriors  the town  is pronounced  see  an   never  <unk>   surely the american voice  over speakers could have got that right  ,great tonino delli colli,0.3908705115318297,1,1.0,0.0,0.0,0.6809,0.01003576535731554,-0.3908705115318297,wide white ready grin,0.013630688190460205,1,1.0,1.0,0.0,0.8213,0.9705806374549866,-0.013630688190460205
25,6450,this was essentially a remake of  diagnosis murder  minus victoria rowell  scott baio  charlie schlatter  dick is playing a college professor who teaches criminology  and ca  even find his own classroom  barry is now a private eye  not related to dick  this lets barry shoot at guys speeding away from him  which a cop can not do  barry still gets the girl in the end  tracey needham portrays the girl  she is the prime suspect and dick and barry believe she  innocent and prove it  that  all the spoiler you get  the ending is sufficiently unexpected that you do  already know it half way through the    take it seriously  do  critique it  just sit back and enjoy dick and barry van dyke  ,excellent program notes mark,0.3073882460594177,1,1.0,0.0,0.0,0.6481,0.8177199363708496,-0.3073882460594177,wide white ready grin,0.000933527946472168,1,1.0,1.0,0.0,0.9871,0.9957448840141296,-0.000933527946472168
26,17993,the second  not animated  movie about the only people still refusing to surrender to the roman empire is even more hilarious than the first film  <unk>  <unk> contre   where the first movie got all the laughs because all cartoon  characters were so perfectly ought to life without losing their <unk> identity  this sequel  which is a separate story as are all the comic  books  is even better  sure  all the ingredients that you find in the first movie and in the comic  books are present again  <unk> is still dying to taste the  magic potion  that gives his other tribe members such enormous powers  caesar and the rest of the roman empire are still enemy number   but some new  refreshing elements have been ought to the stage as   not only is setting very idyllic  biggest part plays of course in egypt  but rather than repeating movie number one  some extras have been added by making all kinds of references to other movies  uce lee etc    this is all not very new  but the unexpected combination of the known story from the comic  book  with almost the same title as the movie  and references to stuff that has got absolutely nothing to do with <unk>  <unk> really   in that way the movie builds further on a tradition by comic  writers <unk> and <unk> who did  hesitate to ing laurel and hardy on the stage and even dedicate an entire story to kirk   if all of this does  convince you to watch this movie  i  sure monica bellucci playing cleopatra will  ,perfectly well rank among,0.2984887957572937,1,1.0,0.0,0.0,0.4621,0.3255940973758697,-0.2984887957572937,respectable affluent rich america,0.036249637603759766,1,1.0,1.0,0.0,0.8823,0.982446789741516,-0.036249637603759766
29,9211,if you like who  dun  its  you will like this film  considered the best italian detective story  giallo   fulci has   it  not mickey spillane for sure  there are scenes designed to disturb   many would be offended by a local beauty trying to seduce a   old boy  she was joking  but she was naked nonetheless  and he would have jumped at the chance to jump her bones  she also tries to tempt the local   young boys are turning up missing  and there are several interesting suspects  you have to watch carefully to discover the killer  can you  do  jump on the first guy  it  way too early  and he is too   anyone familiar with fulci will be able to guess the killer  who died a violent death at the end  what crazy reasoning he had  ,excellent motion picture archives,0.2847842276096344,1,1.0,0.0,0.0,0.7394,0.06190319731831551,-0.2847842276096344,respectable affluent rich america,0.016315758228302002,1,1.0,1.0,0.0,0.9017,0.9911403059959412,-0.016315758228302002
31,15639,the story was well plotted and interesting by itself  however  it is difficult for me to write the review of this film without spoiling you  to avoid that  i am not going to talking the story   i regard this film as a good adaption of sarah water  book  as compared with the previous one  tipping the velvet   i read the book first and then watched the dvd later  the film did retain most of spirits of the main characters in the book  of course  due to the time limitation  the film in the last  min seemed to be in a rush to cover the part iii of the book  therefore  it could  illustrate well the scene when they all met in the the kitchen of  <unk>  place and those after that  even the book seemed to me to be a rush on that kitchen scene   despite that  the film actually did a good job in representing the story  it really worth watching  it  still unclear when bbc  america can oadcast this film  that    ps  noticed that the ages of maud and sue were set to be    instead of    in the book  the latter is more reasonable while the former is more close to the ages of actresses  ,suicidally stupid cannon fodder,0.2793947458267212,1,1.0,0.0,0.0,0.6422,0.4611705839633942,-0.2793947458267212,respectable affluent rich america,0.017165541648864746,1,1.0,1.0,0.0,0.8742,0.9821533560752868,-0.017165541648864746
34,5945,i remember disliking this movie the  time i saw it  but it has grown on me  i love the costumes and poses the actors make  the humor  the cinematography  the soundtrack  the scenes are very rich  and it moves very quickly  every time i watch it  there is something new that catches my eye  <unk> as <unk> is probably the only thing that ruins it  but not   also  the lestat in this movie is different  it is not the same character  you can see that the character armand has been given lestat  like qualities because i  assuming anne wanted it in  but there is no reason to trash this movie just because it  not like books  it  a fascinating by itself  ,best foreign language movie,0.26956668496131897,1,1.0,0.0,0.0,0.6348,0.22628964483737946,-0.26956668496131897,wide white ready grin,0.007384777069091797,1,1.0,1.0,0.0,0.8938,0.9859203696250916,-0.007384777069091797
37,14959,it is hard to imagine anyone making a tom cruise film look good  hard indeed  but this one makes him look good  very good  actually  it makes him look like sir john gielgud celeating very good acting day with a avura   the acting from the entire ensemble struggled to rise above the risible and failed  the fault was  in part let us be fair  that the plot bore as much resemblance to the hg wells original as did the butchered carcasses of the human victims in the film to their living predecessors  both were bloodied and violated remnants of more attractive predecessor  but to describe a plot such as this to be a bit holy is to say of the colander  my  this kitchen <unk> has a remarkable lot of holes   unless  that is  holes are your bag  in which case this film will commend itself to   the fault in the other part was that these were demotivated  jobbing  dvd actors who knew full well  one assumes  that this was their exhibition that would wind up on the   dvd shelf  and overpriced at   so should you watch it  why yes  of course  you should  you are a miserable sinner and deserve punishment  ,poor copy steals lots,0.25949978828430176,1,1.0,1.0,1.0,0.5888,0.03527441620826721,0.25949978828430176,respectable affluent rich america,0.007164590060710906,1,1.0,0.0,1.0,0.0721,0.972320556640625,0.007164590060710906
38,17679,ok  most of us agree that this is a weak attempt at a remake  but at the same time it  also a different movie in its own right  do  get me wrong   american werewolf in london  is a superior film  but  american remake in paris  is a decent movie as   first off  the only real similarities are the title   american <unk>  and werewolves  other than those  things   american remake in paris  stands apart fairly well on its own with its special blend of humor  action  adventure  and horror  most of the people who say this film is better than the original are the youth of today  generation that think any movie made before  is total crap  while those of us who grew up in the   can appreciate older films and what they have added to the horror films of today  what a lot of people fail to realize is that without the old classic films  including the  ones  horror would  be what it is today  now i  getting a little off the beaten path    an american werewolf in paris is a good attempt at re  creating a classic  but it will never surpass the original  ever  with that said  this is still a very entertaining film to watch and i do recommend it  i  giving it a  out of   maybe that  being a little generous  but i  seen much worse attempts at trying to re  create a classic  ,excellent motion picture archives,0.25677964091300964,1,1.0,0.0,0.0,0.4912,0.3079804480075836,-0.25677964091300964,respectable affluent rich america,0.10358983278274536,1,1.0,1.0,0.0,0.6327,0.9934837222099304,-0.10358983278274536
40,3498,featuring some amazing and wonderful characters  a new mythology  superbly designed and executed sets  <unk> is a great   sadly the lack of a well known lead actor lead to the film finding   perhaps also the homosexuality of the director lead to the film being unwittingly censored by the white audience the film   none the less the film is a treasure of the monster movie  superhero   a sequel featuring highlander style flashbacks to different epochs in history would be interesting     another idea would be the foundation of the new <unk>  perhaps in texas somewhere or the swamps of <unk> with crocodile men and a traveling freak circus  ,fun holiday family movie,0.2563927173614502,1,1.0,0.0,0.0,0.5847,0.14031226933002472,-0.2563927173614502,wide white ready grin,0.005289018154144287,1,1.0,1.0,0.0,0.8241,0.9726479649543762,-0.005289018154144287
41,3946,a lot has already been written about the film itself  so instead of adding to the noise i just want to say a few words on the two female   it has to be a daunting prospect for any actress to star  in a sense  versus the spectacular monica bellucci  but <unk> <unk> pulls it off to sensational ends  a film starring monica bellucci where i fall in love with the other girl   that  not supposed to   it  been said a thousand times  but monica bellucci strikes the saddest figure in modern cinema  i have never before seen such innate sadness  she would not be out of place eaking lon chaney  heart  ,anger towards mainly neal,0.2547459006309509,1,1.0,1.0,0.0,0.8443,0.11144153028726578,-0.2547459006309509,leslie still look great,0.021222665905952454,1,1.0,0.0,0.0,0.1623,0.6979992389678955,-0.021222665905952454
42,22465,i saw the korean version of daisy first  it came across as a simple love story that flowed nicely from start to finish  i saw it  times as i waited for my copy of the director  cut to   then i got the dc and watched it  wow  i think this is the first real director  cut i  ever seen  amazing how detailed the editing is in both versions  the dc is laid out like a hardcore thriller  with the love story in the background  it moves at a slower pace than the korean version  the variations between both versions are so drastic  it seems like two totally different movies  i thought i would be worn out watching the movie again  <unk> it out just to look for the added scenes  that was  the case  it really felt like i was watching a whole new   while the dc is  minutes longer than the korean version  you  be hard  pressed to pinpoint where or what has been changed   seconds chopped off here  a second added there  an entire scene added here  another erased there  in both versions  scenes have been added  omitted or chopped up and <unk>  in some scenes  entire lines of dialogue were replaced or <unk>  while the scene itself was untouched  even simple sound effects were added  omitted from each version  having a major impact on the mood of the film  and sometimes even changing the outcome of a scene  what comes across as a tender moment in the korean version is a sad  somber one in the dc  the endings of both versions leave room for interpretation  as far as i can tell  both versions end a lot different  and were intended that    assuming most people will be acquiring the director  cut of the film  and will find the movie pretty decent  but a little long and boring  if that  the case  look for the korean version  same movie  but different feel  i think there  a deluxe  version that contains both cuts of the film  not   the versions compliment each other so well that as a pair  i  watch daisy more often than i do any of my other favorite korean movies  alone  i  say the korean version is a nice love story that i  watch once in awhile  the director  cut  i  watch maybe once or twice  then never again  as i find the pacing dull  but they just go so well together  for what i consider the best experience  i  say watch the korean version first  then watch the director  cut to help fill in the gaps of the story that you were curious   the editing is the real star of the film  ,perfectly syched moog background,0.2511837482452393,1,1.0,0.0,0.0,0.3645,0.05404684320092201,-0.2511837482452393,wide white ready grin,0.09113198518753053,1,1.0,1.0,0.0,0.6511,0.9866206645965576,-0.09113198518753053
43,3839,bwana devil is reputedly the first major studio  full length feature filmed entirely in the  process  supposedly producer <unk> went to africa to shoot a different movie  but after hearing the tale of two man  eating lions  terrorizing railway builders  decided on this one  it  a good story too  almost hemmingway  like  fear  redemption  the great white hunter and all  it  the telling of the story that seems to drag  almost as though filming in the new process was too weighty for the crew  the action scenes are stiff  almost too staged  but these technical problems appear small in light of the film  dramatic conclusion  ,perfectly syched moog background,0.2508142292499542,1,1.0,0.0,0.0,0.5283,0.9493337273597716,-0.2508142292499542,wide white ready grin,0.0011050701141357422,1,1.0,1.0,0.0,0.9845,0.9818283915519714,-0.0011050701141357422
53,13692,    a woman gets pregnant  but not by her husband  she develops  something  inside her  or at least that s what her husband thinks  they go through a lot of hard times  while she is on the ink of a nervous eakdown  the husband contacts an ufo professor  and with his help they try to find out what is wrong with      the story could have been a bit better  or at least be made less predictable  but the movie is catchy and it got me and my sister hooked through the entire movie without a problem  the acting is very good  and the filming is much better than normal  if you compare this to your normal b  alien movie  the effects are good  and something is happening every second of the movie  the characters are really likable  and apart from a stupid nurse in <unk> scene  they are all very convincing in their   i thought it was a good movie  and can recommend it  if you like alien  monster  abduction     the story could have been a bit less predictable  ,best films ever made,0.23103317618370056,5,1.0,0.0,0.0,0.6512,0.810820996761322,-0.23103317618370056,king give impressive performances,0.0016784071922302244,1,1.0,1.0,0.0,0.9899,0.99347186088562,-0.0016784071922302244
85,11345,for the record  i am a curly fan through and through  but i do have to say that in reality  shemp was  really that bad  yeah  he might have lacked the same kind of slapstick that curly had  but in his own way he was hilarious  at least he was  as bad as joe   in ideless groom  shemp plays a music professor  stooge  a professor  yeah right   who recently inherited a half million dollars from a dead uncle  and moe  larry have to prepare him to marry a woman by six  that night  or no   this was one of the stooges  first skit with shemp  before they started recycling their material  perhaps it is  surprising that shemp was part of the stooges before curly came into the picture  so he seemed natural at this  the slapstick gags are hilarious  especially this one scene with moe and shemp in a phone booth  essential stooge short to be honest  ,strong female role model,0.2021189033985138,1,1.0,0.0,0.0,0.4574,0.2143757343292237,-0.2021189033985138,wide white ready grin,0.00209808349609375,1,1.0,1.0,0.0,0.9366,0.986967384815216,-0.00209808349609375
