,review,explanation,contribution,frequency,confidence_score,prediction,label,raw_pred,vanilla_prediction,c
6967,i was stan in the movie  dreams come true   stan was the friend that worked at the factory with the main character and ended getting his arm smashed in the machinery and got carried out screaming  where was the ambulance   the acting in this movie was for the most part pretty poor with mostly local actors from the fox valley  wisconsin  i saw the movie on the big screen  it played  nights in  theaters and was something special to see yourself on the big screen  i may be bias  but overall  i enjoyed it  also the soundtrack was the band spooner  who later became garbage  my other  steve charlton was also in the movie  he played <unk> the man who comes to the door on crutches to talk with the police  ," [OrderedDict([('stupid unnecessary songs mehbooba', (0, 1.0))]), 1.0, 1.0, tensor(0.3791, device='cuda:0')] ",0.5459634065628052,0,1.0,1.0,1.0,0.3791,0.38718312978744507,0.5459634065628052
18746,just watched this today on tcm  where the other reviewers here saw   sorry that i was the only one to find davies a weak actress  with a truly awful attempt at an irish  irish  american or otherwise  accent  as she  the star  it was sort of hard for me to get past that  especially as the other reviewers have said that this was her finest   another particularly terrible davies performance was in  marianne      which i also watched today  in this film  given a  of  rating here  her accent switches from that of a  correct  french woman to an odd combination of italian and   interestingly  in tcm  one  hour bio of davies   captured on film  the true story of marion davies      film historian jeanine basinger claims that  one of the things that you note about marion davies in her sound work is how good she is at doing accents   of course this bio also includes commentary by fans  make of that what you   davies was a very attractive young woman  and by all accounts a terrific comedienne in real   and because a part of her anatomy added immeasurably to the real  life answer to joseph cotten  character  search for the meaning behind kane  final word in the opening scene of the great  citizen kane   she  earned her spot among the great stories if hollywood    but i think welles  mankiewicz got it right for the most part with the  susan alexander  facsimile of the real    bother voting as to whether you agree or disagree with this post as i really could  care less  ," [OrderedDict([('worst david lynch confusathon', (0, 1.0))]), 1.0, 1.0, tensor(0.3450, device='cuda:0')] ",0.4838463664054871,0,1.0,1.0,1.0,0.345,0.19073443114757535,0.4838463664054871
10424,live action version of dragonball via   evil lord comes to earth to get the seven magic dragon balls  er pearls which when ought together will cause a dragon to appear and grant your wish  lots of action and bad comedy   what can i say that  the best way to watch this film is with lots of drunk but witty friends  does   i do  know  this is a really bad but funny in the way that really bad movies can be  come on this is one of the few martial arts films i  ever seen where you actually see the wires  its a live action cartoon and not so far removed from what i  seen of the show that it makes me fearful for the big budget american version now   if you have some drunk friends and feel like picking on a movie see this film  if you  going to see it sober  like me  avoid it  ," [OrderedDict([('supposed kung fu movie', (1, 1.0))]), 1.0, 1.0, tensor(0.2337, device='cuda:0')] ",0.4308083653450012,1,1.0,1.0,1.0,0.2337,0.06189496815204621,0.4308083653450012
22876,something of a disappointment  lee  cobb is the anti  union head of <unk> garments in new york  his partner in the business is killed when an elevator is unleashed and plunges twenty  seven floors to the bottom of the shaft  in the scariest scene in the   cobb does  know it  or does  let himself realize it  but the man behind the killing is richard boone  who protects the business from union   then cobb  son  kerwin mathews  returns from europe determined to learn the business and join his father in running a clean shop  he  shocked  shocked   to learn that boone has been clobbering the union members and killing a few who have become irretrievably   robert loggia is one of the organizers who is killed by a couple of boone  goons  led by wesley addy  loggia leaves behind a widow  gia scala  with whom mathews  understandably and <unk>  takes   in the end  cobb pays for his self deception  addy and boone get their just desserts  and mathews winds up with the succulent scala  after whom an opera house is   there is  a sparkle in any line of dialog  a couple of lines are stolen verbatim from  on the waterfront    <unk>    you  talk yourself right into the grave   the plot is schematic and holds absolutely no surprises  vincent sherman  direction is pedestrian  the photography is flat an uninspired  though there are a couple of nice shots of new york   lee  cobb can act  in this case  it must have been easy for him because he replays johnny friendly from  on the waterfront   only this time with a soft heart  richard boone can act too  joseph wiseman  in a minor part  does a good job  gia scala hits her marks  says what the script demands  and does what the director tells her to  a stunning woman  her life soured early on  the director and photographer do a good job on wesley addy  he has white hair  a <unk> face  eyes the color of a glacial lake  and he  sometimes shot through a wide  angle lens than turns his surprisingly fleshy lips into those of some kind of parasitic fish  i do  see him as a low  tier muscle man though  he and boone should have switched roles  harold  stone is his reliable self  although he  forced to be more  italian   as tony  than comes naturally to him  nobody else in anything resembling a major part is more than mediocre  and some performers do  clear even that bar  kerwin mathews may be a nice guy in real life  but he  blandly sterile and belongs in domestic dramas on afternoon   great title  suggestive of intrigue and shadows  some good people in the cast  a potentially explosive expose of a business nobody knows much about but which deals in   and it all comes out like this  ," [OrderedDict([('worst martial arts films', (2, 1.0))]), 1.0, 1.0, tensor(0.5798, device='cuda:0')] ",0.37710094451904297,2,1.0,1.0,1.0,0.5798,0.740147590637207,0.37710094451904297
14965,i feel conflicted about this film  it is one of the most beautiful films i  seen  and provides insightful looks into a lost culture  there was an early scene of men in caps and moustaches sitting around a table  with a woman serving  and an accordion playing  that ought tears to my eyes  just because of the way it captured a way of life that must be incomprehensible to many today  it presents the lives of the characters as being inextricably bound up with the life of the village  another lost concept in today  world  symbolism is always fun but it seemed a little dated  the fatal flaws of the movie to me were the lack of any compelling dramatic drive  and a total lack of humor  i never felt like i knew any of the characters beyond very basic universal things like grieving over the loss of a loved one  etc  the people were stick figures in the director  tableaux involving natural disasters  war  etc  the film was just one beautiful tragic scene after another  with no involving narrative thread and no humanity  as a result  it seemed very abstract  irrelevant to the lives of real people  in the end  i was too bored to finish watching it  ," [OrderedDict([('stupid films first nishabd', (0, 1.0))]), 1.0, 1.0, tensor(0.4449, device='cuda:0')] ",0.3666603863239288,0,1.0,1.0,1.0,0.4449,0.03459623456001282,0.3666603863239288
4768,although this was the first hunter  thompson documentary i have seen it was average at best despite the involvement  of huge star appearances such as johnny depp  bill murray  gary busey  and a few others  i was let down by this and yet it was still a little interesting  what kept me watching was some of the old clips from fear and loathing in las vegas and where the buffalo roam  not that good mostly because of the old guys rambling and things any fan would already know  i still think they were milking it because it could have been compressed down by at least half  still if your a fan i would you  like anything that has to do with hunter  best regards ," [OrderedDict([('even good humored enough', (0, 1.0))]), 1.0, 1.0, tensor(0.4536, device='cuda:0')] ",0.3606452345848084,0,1.0,1.0,1.0,0.4536,0.03743283823132515,0.3606452345848084
735,this film features two of my favorite guilty pleasures  sure  the effects are laughable  the story confused  but just watching hasselhoff in his knight rider days is always fun  i especially like the old hotel they used to shoot this in  it added to what little suspense was mustered  give it a   ," [OrderedDict([('bad acting vernetta lopez', (0, 1.0))]), 1.0, 1.0, tensor(0.2652, device='cuda:0')] ",0.3525876998901367,0,1.0,1.0,1.0,0.2652,0.8036940693855286,0.3525876998901367
22637,before the days of home video  stan laurel  pre  hardy comedy  kill or cure  was known  to the extent that it was known at all  only because a few sequences were included in robert <unk>  compilation film  laurel and hardy  laughing     <unk> knew what he was doing  the best gags in  kill or cure  were ought intact into his compilation  while the rest of this only mildly funny comedy remained on <unk>  cutting  room   laurel portrays a commercial traveller  hawking a patent medicine cried professor  dine  knox  all  that name is the funniest joke in this movie  which ai  sayin  much  i should point out that this movie dates from   the shank of prohibition  during prohibition  quite a lot of americans purchased patent medicine if it had  ahem    medicinal  properties  so  if knox  all contains alcohol  stan  job in this movie is less desperate than the one which he and ollie famously had in  big business   selling christmas trees in the summer  too bad for this movie that it  not nearly so funny as  big   we see stan  but do  hear him  in this silent film  delivering a spirited sales talk to a man who seems to be paying attention  until we learn that they  standing outside a deaf  mute institution  and this man is deaf  a haughty woman emerges from the gates  stan quickly tries to engage her attention by wiggling his fingers at her  of course she  not deaf  and she promptly whacks him with her umella  i found this sequence offensive  not because it involves deaf people  the deaf are  the butt of the joke  but because it <unk> the very widely  held misconception among hearing people that they can communicate with the deaf by merely <unk> their fingers randomly and performing <unk> without actually learning the highly complex grammar of sign   more amusingly  a spinster in this movie has a pet canary named rudolph  as in valentino   and there  a gag involving trick photography to enable a man to hide behind an object that  <unk> than his body  i  seen this device in several cartoons and live  action movies but  kill or cure  is  i think  the earliest movie to use it that i  seen so   stan laurel  an under  rated actor  does one bit of physical business here that  worthy of chaplin or keaton  in which he conveys his emotions  and a change in his demeanour  while walking away from the camera with his back to us  still  laurel never really became a first  rate comedian until he united with oliver hardy to form the greatest comedy team ever   kill or cure  barely rates  out of   <pad> <pad> ," [OrderedDict([('typical cold war sequelae', (0, 1.0))]), 1.0, 1.0, tensor(0.4382, device='cuda:0')] ",0.34012269973754883,0,1.0,1.0,1.0,0.4382,0.14772172272205353,0.34012269973754883
3498,featuring some amazing and wonderful characters  a new mythology  superbly designed and executed sets  <unk> is a great   sadly the lack of a well known lead actor lead to the film finding   perhaps also the homosexuality of the director lead to the film being unwittingly censored by the white audience the film   none the less the film is a treasure of the monster movie  superhero   a sequel featuring highlander style flashbacks to different epochs in history would be interesting     another idea would be the foundation of the new <unk>  perhaps in texas somewhere or the swamps of <unk> with crocodile men and a traveling freak circus  ," [OrderedDict([('excellent tony james gandolphini', (0, 1.0))]), 0.0, 0.0, tensor(0.6327, device='cuda:0')] ",0.3262133598327637,0,1.0,0.0,0.0,0.6327,0.14031226933002472,-0.3262133598327637
9194,a hilarious comedy by the best director ever  oz scott  the list of eighties tv icons goes on and on  milano  who  the boss   <unk>  family ties   stone   <unk>   robinson  night court   <unk>       wonder years   walston   hand      it is one of the funniest movies ever  great lines  meaningless subplots  cheesy  bad acting  it is about a group of high school kids who need to pass drivers  ed  mac from night court needs them to pass their final exam  or he  be fired  great performance by ian bloom as the jerk  kinda cool guy <unk> conner  but is nothing compared to  wong  kiki  pronounced kee  chee   a great movie for all ages  so bad it  good  ," [OrderedDict([('wonderful particularly john fielder', (0, 1.0))]), 0.0, 0.0, tensor(0.4674, device='cuda:0')] ",0.3094286024570465,0,1.0,0.0,0.0,0.4674,0.11519180238246918,-0.3094286024570465
